user,sku,category,query,click_time,query_time
00ba9cc4b0982be81f9ffad699844efbe3c686c6,8208389,pcmcat147700050016,"blu ray","2011-10-25 22:49:13.299","2011-10-25 22:47:57.861"
00bd262cf9eb07bd07b8fc05e2ba485f4bdcbabc,9225377,abcat0201011,ipod,"2011-10-30 14:16:58.565","2011-10-30 14:15:50.669"
00c0db6fd897884272a225af602b1f3c72588d04,2414049,pcmcat162100050040,"galaxy sansung","2011-09-30 10:46:02.238","2011-09-30 10:45:45.197"
00c233bd86100b30e2a03a415afdb60d9aad01e2,2225047,abcat0503002,linksys,"2011-10-26 00:34:11.225","2011-10-26 00:33:57.137"
00c30ade3175d00c459c904849b57a4d18b4bb4c,9755322,pcmcat247400050001,Netbook,"2011-09-11 19:17:50.423","2011-09-11 19:17:01.669"
00c44e82a6c0133ba592184a1492cb75398dcaf9,1987075,pcmcat180400050000,"Canon rebel","2011-10-03 18:30:26.801","2011-10-03 18:30:21.479"
00c584aa5140e5a50214662e5aff5a88963e6752,9755322,pcmcat247400050001,"Macbook air","2011-09-05 22:40:11.542","2011-09-05 22:37:09.09"
00c890e4c617cab8dd2dfe308d59a443f533cd32,2049039,abcat0401004,"nikon l200","2011-08-20 13:40:50.18","2011-08-20 13:36:35.155"
00ca8e8d3ca5a274ff1230efab5085d5083bea1b,2925714,pcmcat247400050000,"Sony vaio","2011-09-23 00:35:02.017","2011-09-23 00:34:49.486"
00cd0957f3a16fdca9408d6f4bac5577011320c2,9755322,pcmcat247400050001,"mac notebook","2011-09-19 17:41:09.766","2011-09-19 17:39:46.483"
00cd3ebf76f59929c59a27c0a0aae84b9e6352e5,9945474,pcmcat186100050006,"external harddrives","2011-10-03 16:20:17.815","2011-10-03 16:20:13.927"
00cf19c0ea1274004a6487d77a93a92b786b76b3,2620821,abcat0101001,"smart tv","2011-09-06 17:56:39.017","2011-09-06 17:52:41.394"
00d0958ccda4532eebde70e46ffbebc3f81ee0d3,1980124,pcmcat180400050000,ColumbusDay_CameraCamcorder_20111009,"2011-10-09 09:42:49.414","2011-10-09 09:42:38.361"
00d179a8435400a7031b6a5882be5b16a4b2045f,1980124,pcmcat180400050000,"canon t1i kit","2011-08-17 16:15:28.652","2011-08-17 16:14:39.198"
00d1ce8723cfb8a4419c4c228ed4dbc6bf91fcec,8915178,pcmcat143700050032,adapter,"2011-09-01 22:45:29.532","2011-09-01 22:45:13.538"
00d98f53bd6c789808a315604d621487ae6ac1d0,1257136,pcmcat231700050017,"bravia ex 700","2011-08-31 15:04:16.394","2011-08-31 15:04:02.502"
00dd6eaec5029202296b40b40f3520723db14748,1623912,pcmcat247400050000,LaborDay_Computers_20110902,"2011-09-03 17:55:47.929","2011-09-03 17:54:19.815"
00ddb163f64e28b11bd3d52b633a52e9afae7e32,1222817,pcmcat180400050000,"360 wifi","2011-10-29 02:27:47.371","2011-10-29 02:25:08.732"
00df90daf933df18f725df9c8db5499d16c7a093,2339322,pcmcat209000050007,Ipad,"2011-10-05 11:20:41.014","2011-10-05 11:18:05.567"
00e0600babb4d54e2a05df37f9c7630d51c7122a,8915178,pcmcat143700050032,converter,"2011-10-20 00:08:46.985","2011-10-20 00:08:05.684"
00e1a093fc072987aa5db454b730eed3837f117a,3209231,cat02015,"xmen first class","2011-09-09 12:24:55.982","2011-09-09 12:24:28.379"
00e31a70b3cb41ea7339a4ba075f9d603738f314,2506173,pcmcat193100050014,"Kindle fire","2011-09-29 18:48:21.017","2011-09-29 18:48:10.649"
00ea007062468a984f579497f93069524975b0bc,1308088,pcmcat186100050007,cablecard,"2011-10-20 00:01:29.982","2011-10-20 00:00:45.087"
00eb53c4eaec1895cd8c231c1ae79c5c59996aeb,9492426,pcmcat143000050007,beats,"2011-09-21 01:30:29.338","2011-09-21 01:27:49.497"
00f024fdf55be1a19effe18791611a41aae24b76,9755322,pcmcat247400050001,MacBook,"2011-09-06 16:31:54.613","2011-09-06 16:31:37.531"
00fdef3d296d164602162f9dc7eced2fe4a1fff6,1331156,pcmcat128700050041,"Apple tv","2011-09-05 07:14:15.034","2011-09-05 07:13:14.727"
0102cdc3be5a45c3989556170739d45116126262,3061302,abcat0703001,Playstation,"2011-10-18 16:07:59.656","2011-10-18 16:07:43.144"
010f3e505fc8acbcc8a969ba13c20a292b2f66b8,2842056,pcmcat209000050008,iconia,"2011-09-27 19:13:17.927","2011-09-27 19:11:33.61"
0112ff6e85a01d8f4fb4098018ba1143c22bd5ae,9225377,abcat0201011,"mitsubishi 915p026a10 tv bulb","2011-09-27 18:25:06.436","2011-09-27 18:20:42.69"
0116151b24a14a23fda9e9a98d9e1f4ac05c1322,8856865,pcmcat209700050013,antivirus,"2011-10-26 00:28:55.202","2011-10-26 00:28:31.554"
0118a6fd6de6c6996ef8317daa164973f5fc1316,2989098,abcat0208011,"alarm clock","2011-10-19 23:11:09.905","2011-10-19 23:09:51.843"
01279cc0ec432a8e5278567818095f92afa2bb2f,2925714,pcmcat247400050000,"sony laptop","2011-09-18 09:30:35.211","2011-09-18 09:27:36.07"
012e3b837918f5872f1c07f368bc39180d976e22,9492426,pcmcat143000050007,"Dr. Dre","2011-10-20 19:53:13.15","2011-10-20 19:51:28.059"
01366d9d3da569d651372bf394ac6e6f6d4aa05b,8229044,abcat0503013,Modem,"2011-08-13 08:21:33.819","2011-08-13 08:20:39.012"
01398d734b820da651973e3e1838a40b72ffecd8,1945531,pcmcat209000050007,iPad,"2011-09-25 06:12:24.403","2011-09-25 06:11:54.605"
013d8a5bf14ff5702242d5b4c198356631c1bd1e,2817582,pcmcat209000050008,"iPad 2","2011-09-10 00:17:28.497","2011-09-10 00:14:41.734"
013eca314fdd77c080df7cf9d3f49f4cc6d93b71,2842056,pcmcat209000050008,iPad,"2011-10-05 22:54:12.273","2011-10-05 22:52:25.333"
0143aac78c70522a213c37a570ad88f2f63ea8ac,2173056,abcat0703002,"playstation 3","2011-10-25 22:58:16.218","2011-10-25 22:57:31.814"
0143aac78c70522a213c37a570ad88f2f63ea8ac,3303069,pcmcat248500050020,"ds games","2011-10-26 00:34:31.39","2011-10-26 00:33:34.247"
0156e0cf7ca98f2a0cfb05285a461e3e59457f87,1535836,pcmcat247400050001,MacBook,"2011-10-14 19:56:02.541","2011-10-14 19:55:06.751"
01579bdb8c043d2cfcbaa7930a4c352ea249e3d2,3232178,cat02012,"lil wayne","2011-09-12 14:34:32.403","2011-09-12 14:34:04.748"
016184b8a63552d04930b838546f2c31b206a009,1251981,pcmcat186100050006,"western digital","2011-08-29 16:18:21.219","2011-08-29 16:15:17.27"
016fedb664e0c8d2bb3d054975ddb101df09b084,2842056,pcmcat209000050008,"HP touchpad","2011-08-22 13:36:47.97","2011-08-22 13:36:33.911"
01758415110d514eabead8662afd5696c310aaf3,2339322,pcmcat209000050007,"Computer cable","2011-10-24 21:19:58.888","2011-10-24 21:15:56.143"
01768e152b65196963f789892d5be84ff26b294a,2339322,pcmcat209000050007,Ipad,"2011-10-05 01:37:19.107","2011-10-05 01:35:55.442"
017b9c944da462a632592855e4832c305b9ea14f,2969477,pcmcat247400050000,netbook,"2011-08-25 12:33:57.525","2011-08-25 12:31:51.924"
017dc46841eda87faba78d09c7b1d0a44d96786e,3122039,pcmcat209400050001,"Droid bionic","2011-10-08 06:51:20.249","2011-10-08 06:49:55.496"
018a29c797661b9f0bed6b79d583c3bc1c53fa54,3122039,pcmcat209400050001,"droid bionic","2011-09-21 23:17:49.527","2011-09-21 23:16:37.903"
018dd5ec0685517b51397fef1bbbf0a4a62e79b0,2989098,abcat0208011,headphone,"2011-10-25 21:45:26.617","2011-10-25 21:44:58.62"
018f5b677d47e2831d3da54cf519947224d6a751,9492426,pcmcat143000050007,dre,"2011-10-19 15:17:08.198","2011-10-19 15:16:57.42"
019028235ace9ad25995945f1b0c50ede48ed157,2842092,pcmcat209000050008,"Hp touchpad","2011-08-21 09:57:15.026","2011-08-21 09:56:08.687"
019221fee48afa0e0f863a8a23bbf5c13c476b02,9225377,abcat0201011,"iPod touch","2011-09-10 23:51:23.449","2011-09-10 23:50:47.596"
019ffef1fb1443f3ddbad43193a45dc76298490d,2658077,pcmcat190000050013,iMac,"2011-10-27 21:37:27.838","2011-10-27 21:37:16.802"
01a23d6d7cd49887d3607e6f6c7d4cc6355e0900,2550164,cat02015,"star wars","2011-09-13 16:10:38.517","2011-09-13 16:10:06.288"
01a32eaae526843aecb8e8f67a165447b07c3fdd,2925714,pcmcat247400050000,"Sony vail","2011-08-16 18:30:16.081","2011-08-16 18:30:03.69"
01a4db2381b792d2f9550b6c58f6c87d31ca6c48,2300417,pcmcat209400050001,"radar detector","2011-10-25 22:10:12.342","2011-10-25 22:10:03.755"
01a50b6313e743e600e30efb8462cf4b59ad95bc,2225047,abcat0503002,"Wifi Router","2011-09-22 14:58:30.371","2011-09-22 14:58:05.432"
01aca0727ba41075a156c5723e06c03750eeaeed,9225377,abcat0201011,Touch,"2011-09-02 15:45:33.721","2011-09-02 15:45:08.862"
01acde8e60a0a53da99c033406170488d82b9378,2390524,pcmcat209000050008,"htc flyer","2011-10-06 03:29:03.859","2011-10-06 03:28:59.992"
01b7eecbc50d7998bc2644a17b1ab23c7a74cfad,3122039,pcmcat209400050001,"motorola droid bionic","2011-09-21 23:18:22.007","2011-09-21 23:15:55.874"
01b891002600902267909322db30241b80d8f24e,2738738,pcmcat164200050013,Laptops,"2011-10-04 21:36:24.576","2011-10-04 21:34:19.095"
01ba71f296e3f0471fe7c81c73ee906510a300ff,3303069,pcmcat248500050020,"s video","2011-10-25 21:42:16.481","2011-10-25 21:41:25.478"
01c1e633597ed882b06861a20f7522a9c5327741,2375201,abcat0703008,"Madden 12","2011-08-30 19:08:00.885","2011-08-30 19:07:50.365"
01cb8c7689652f09cfeed51998e3f2dc5c6d2d49,2970255,pcmcat247400050000,"Toshiba laptop","2011-10-09 10:34:13.937","2011-10-09 10:34:05.659"
01cbb11d395300eb8fad52badc001da1d7bc65b5,9755322,pcmcat247400050001,apple,"2011-10-29 23:15:30.729","2011-10-29 23:13:59.732"
01cd2bd6ad3bad779762c71a14a327c854af6c20,1257136,pcmcat231700050017,Roku,"2011-08-13 16:00:15.565","2011-08-13 15:59:27.709"
01cf52da2bb0a6a14a3676c2067daf6efc74750a,3674224,pcmcat247400050000,"Beats by dre","2011-10-23 13:59:04.042","2011-10-23 13:55:24.577"
01d1f2d91d71ef907790758e7c073aee1f945281,1251981,pcmcat186100050006,ac,"2011-10-25 22:29:04.964","2011-10-25 22:28:22.483"
01d762da05d7cb2e9b9518deb7541339bc36babe,1251981,pcmcat186100050006,"external hdd","2011-09-28 11:16:01.873","2011-09-28 11:15:16.709"
01d86e091c38f1d58e847e9e56b26b0f343c0d52,1987075,pcmcat180400050000,"canon eos rebel","2011-09-18 14:27:14.661","2011-09-18 14:26:43.476"
01da8a439dc042787cc69a9b4b8b7a69efdabb8c,8913606,pcmcat144700050004,"beats headphones","2011-10-30 20:54:42.33","2011-10-30 20:53:25.509"
01dd342f5889406ee6bef6b3e3ec398718c138d0,1946197,pcmcat209000050008,ColumbusDay_Computer_20111009,"2011-10-09 09:10:34.998","2011-10-09 09:08:25.467"
01e55127f3bb2f14d9fd2ea298681ffc10f82661,1517163,pcmcat193100050014,Kindle,"2011-09-25 12:41:02.784","2011-09-25 12:39:36.233"
01e5b186331896e19012ca3bf5bbde4463543e75,1069212,abcat0701001,"xbox 360 slim","2011-09-17 13:58:11.729","2011-09-17 13:55:58.07"
01e7ad71cc31dd5caae9dcecd4f994dda9bf1d9f,2969477,pcmcat247400050000,Toshiba,"2011-10-09 17:32:30.899","2011-10-09 17:29:06.22"
01e8551cc05da502a126f8722986c2fd4276fa68,3487784,pcmcat209400050001,"i phone","2011-10-30 14:21:29.61","2011-10-30 14:20:59.988"
01e89a76f19031b03574d50f889f37d30e374615,2842092,pcmcat209000050008,"hp touchpad","2011-08-22 20:07:40.267","2011-08-22 20:07:14.168"
01ea6d167da48c6729a4c5282885a324325bec8f,9809492,pcmcat158900050018,OnlineMidnightSale_Refurbished,"2011-10-26 18:26:18.998","2011-10-26 18:21:57.014"
01ebaad68f2e781551c21c6fa5810edd0160b3d7,2738738,pcmcat164200050013,netbook,"2011-10-24 23:50:01.644","2011-10-24 23:46:46.609"
01ed0bb0262b6f28392c461b762726a28a351cba,8208389,pcmcat147700050016,"play station 3","2011-10-25 23:53:31.775","2011-10-25 23:52:59.897"
01ed3d27e695cebe058b7d14f463ecbbdd8e4820,9172799,pcmcat189600050008,"wd 250 gb","2011-10-10 09:27:41.998","2011-10-10 09:26:20.13"
01edc1b2566f6ac4e5ac2ab8d12d57d05fac62e6,9225377,abcat0201011,iPod,"2011-10-16 08:59:41.063","2011-10-16 08:59:17.935"
01f2b8aa234a0b0e8566a81299188de7523fc0d2,3143987,cat02012,"lil Wayne","2011-08-29 11:34:15.236","2011-08-29 11:34:01.141"
01ffee30452ed865b802a38c736a7ea0a69cde73,9755322,pcmcat247400050001,Mc,"2011-08-11 18:23:27.572","2011-08-11 18:22:41.851"
01ffee30452ed865b802a38c736a7ea0a69cde73,1534115,pcmcat247400050001,Mc,"2011-08-11 18:27:02.947","2011-08-11 18:22:41.851"
02017cdb0365d2c8dc03f1d676de603225bc5bf6,1517163,pcmcat193100050014,Nook,"2011-10-27 20:51:37.887","2011-10-27 20:51:28.862"
02040ba1594834ffef9e1ab19839b6c5f1a751f7,1945595,pcmcat209000050007,"iPad 2 32","2011-08-20 15:12:28.587","2011-08-20 15:12:21.923"
020643844b53161e777b575c22e858c16f60bdc3,2842056,pcmcat209000050008,"Hp tablet","2011-08-23 08:02:43.761","2011-08-23 08:02:27.659"
020c0633bf8dace3545afc06ca78fcdebbe1d6c9,3232178,cat02012,"lil wayne","2011-08-30 01:17:46.547","2011-08-30 01:16:47.91"
020cb2da032e9d0bc53f7d1c51cbdbb1d9ce2401,9945474,pcmcat186100050006,"Wd live","2011-10-16 14:56:37.686","2011-10-16 14:56:23.46"
020f0eb551bdb76103853743b303f1ee49eaed51,3247045,cat02015,"Transformers 3","2011-10-01 16:39:35.376","2011-10-01 16:38:39.428"
0214f0cd4e235ffdf09ecb49f01910095e4b5b3b,3487784,pcmcat209400050001,"IPhone 4s","2011-10-18 21:14:45.292","2011-10-18 21:13:43.437"
02184cb5a59985f777f1fc42fb29a7b91dacf7f5,1251981,pcmcat186100050006,"The Iomega SuperSpeed USB 3.0 eGo BlackBelt Portable","2011-09-06 14:45:35.49","2011-09-06 14:43:11.136"
021bd918074e90fdffc293ad229c99aea1317acf,8856865,pcmcat209700050013,mcafee,"2011-10-20 00:23:09.629","2011-10-20 00:22:02.958"
021c90c2e6995e51ef5d2f30ca8557e965723152,2620821,abcat0101001,"lcd tv","2011-10-13 13:39:44.087","2011-10-13 13:39:40.141"
02206bb8b52f8ce0ac8781986d0c2e93421c88fa,2224084,pcmcat244700050008,"remote starter","2011-10-30 10:43:03.148","2011-10-30 10:42:48.123"
0225b5e9b655e4a10dadcd4b093a3f2f99d663d0,2620821,abcat0101001,"lcd tv","2011-10-12 16:16:57.322","2011-10-12 16:16:52.512"
022e8bc7f74578adf220909080e85b8cbd391084,2138389,abcat0101001,"lcd tv","2011-10-11 20:08:22.744","2011-10-11 20:08:08.471"
0233fd94db36965698f264eb13644d5a1a88dfa6,1303056,abcat0508009,"microsoft office for ipad","2011-10-18 08:40:00.434","2011-10-18 08:39:19.306"
02392ed1a27a001056db38687abb659767e6eac2,1945531,pcmcat209000050007,"iPad 2","2011-10-07 18:18:14.158","2011-10-07 18:17:04.888"
023cb7a2ec5d35a2cc92acd6395da7b09c8165d8,3303069,pcmcat248500050020,"nintendo ds games","2011-10-19 23:33:07.582","2011-10-19 23:32:12.116"
023f4208ab001edd4206b8d8514202bade26c682,9755322,pcmcat247400050001,"apple mac","2011-09-25 11:40:16.63","2011-09-25 11:39:49.648"
023ff4878883ddcba3df61534a43e719ea01e966,2620821,abcat0101001,"lcd tv","2011-10-24 16:35:04.583","2011-10-24 16:34:51.401"
024068a00ea994e30ffa1da33385bde20fab84d7,1945595,pcmcat209000050007,iPads,"2011-10-14 21:49:52.131","2011-10-14 21:48:54.503"
024769a2cd5272417c188a69827e0449080013b2,2138389,abcat0101001,"lcd tv","2011-10-07 11:38:46.537","2011-10-07 11:38:38.549"
024f2927474ca9e379db0bd341dbef5efaea7668,2506173,pcmcat193100050014,"Kindle fire","2011-10-15 23:40:52.851","2011-10-15 23:40:02.081"
025dad8ad665f0fa43936ce52f6d4729721c28f2,9845581,pcmcat143000050011,"Solo hd product red","2011-09-10 14:56:42.786","2011-09-10 14:54:33.967"
025f2e359f2ef7ac622d107f900d7ab60436f449,2893174,abcat0101001,"lcd tv","2011-10-30 00:39:20.152","2011-10-30 00:39:02.376"
025f778b5b240033c4ac4378e2018da50ac3ff40,2506173,pcmcat193100050014,"Kindle fire","2011-10-04 21:17:36.935","2011-10-04 21:17:28.553"
026198af9b2a1ecf575b0ef7bff938f3a7a268a6,1257136,pcmcat231700050017,"Google tv","2011-09-22 16:22:19.1","2011-09-22 16:22:05.075"
02625f04a2356f1515ea80c580f8aa3dec06ce6b,9225377,abcat0201011,FallSale_Computers_20110930,"2011-10-01 22:44:44.569","2011-10-01 22:43:54.506"
026a17e1a723fc72ad97e649d335c0d42a6b4686,3674224,pcmcat247400050000,"Hp i5","2011-10-20 14:33:25.711","2011-10-20 14:33:18.84"
026daa501e6e4ab7311edf1bc1ff3b967402c39c,1945531,pcmcat209000050007,ipad,"2011-09-04 18:36:39.332","2011-09-04 18:34:03.965"
027133400b34191cdcdc87f98c475d420fc35c0f,9755322,pcmcat247400050001,Mac,"2011-08-13 16:15:21.108","2011-08-13 16:10:28.852"
02718ece9cef89fe74301359e61b3f5d1119e4f7,1831054,abcat0101001,"lcd tv","2011-09-23 10:22:05.213","2011-09-23 10:21:51.763"
0278374e85cb95551817b671a0c6499f3d1cd5b1,2809771,pcmcat209000050008,"samsung tablet","2011-09-01 01:09:12.019","2011-09-01 01:08:10.49"
027dfe1b81cf8f7991e4ebc30f052a0ce1a10df5,2620821,abcat0101001,"lcd tv","2011-10-23 15:09:36.018","2011-10-23 15:09:32.886"
0288680b7b1f25c5542ab0e4008123a6c7a035b1,9492426,pcmcat143000050007,"Dr dre","2011-09-03 22:26:19.342","2011-09-03 22:25:45.417"
028888375a62ede0d40838ab049c21ec9c38fc3f,2842056,pcmcat209000050008,Tablets,"2011-10-01 17:44:45.231","2011-10-01 17:41:45.065"
028d1e8ebf9c6f09c3a355d0193b6e39525a47da,2971078,pcmcat138500050001,"apple macbook pro","2011-08-29 17:11:39.605","2011-08-29 17:08:04.161"
028f172af53da745bfbd82b5150012100b475c94,9744971,pcmcat166000050027,Dvr,"2011-10-28 20:23:37.19","2011-10-28 20:22:21.036"
029268e3c9c1716b324c874e6629cb6bb844f32f,2620821,abcat0101001,"lcd tv","2011-10-19 16:05:40.556","2011-10-19 16:05:35.267"
02958c5667e4e2424cba6737ef859fa42f8c7ff4,1303056,abcat0508009,"microsoft office","2011-09-04 16:28:23.343","2011-09-04 16:28:11.264"
02970986cbc992033df5a8a9cb7b2564bdd3d4f6,2738738,pcmcat164200050013,netbooks,"2011-08-20 23:32:42.098","2011-08-20 23:31:14.443"
0298f4a822c3af0a0c8fc6291e3b7dc0865c50d1,2138389,abcat0101001,"Toshiba 40","2011-10-23 21:08:58.803","2011-10-23 21:08:47.305"
029defd1850d7adb786c4a20999b20b3386e4c6d,1535836,pcmcat247400050001,"Apple MacBook pro","2011-09-01 17:05:20.226","2011-09-01 17:04:31.978"
02a30969a8de720400ef6878d3b5442dc0d472ec,1945531,pcmcat209000050007,iPad,"2011-10-22 13:50:25.999","2011-10-22 13:49:39.989"
02a30969a8de720400ef6878d3b5442dc0d472ec,2339322,pcmcat209000050007,iPad,"2011-10-22 13:50:57.244","2011-10-22 13:49:39.989"
02a93c5d3610d1cf0b8d67ccf92dcc6fe9f62ecd,2969477,pcmcat247400050000,Laptop,"2011-09-20 16:14:24.214","2011-09-20 16:13:54.09"
